Row Labels;Sum of station de ski
01/01/2004;96
01/02/2004;83
01/03/2004;31
01/04/2004;15
01/05/2004;4
01/06/2004;3
01/07/2004;7
01/08/2004;11
01/09/2004;21
01/10/2004;35
01/11/2004;56
01/12/2004;87
01/01/2005;97
01/02/2005;94
01/03/2005;36
01/04/2005;12
01/05/2005;5
01/06/2005;4
01/07/2005;5
01/08/2005;12
01/09/2005;23
01/10/2005;26
01/11/2005;42
01/12/2005;76
01/01/2006;78
01/02/2006;82
01/03/2006;35
01/04/2006;10
01/05/2006;5
01/06/2006;3
01/07/2006;6
01/08/2006;13
01/09/2006;18
01/10/2006;23
01/11/2006;31
01/12/2006;58
01/01/2007;71
01/02/2007;67
01/03/2007;26
01/04/2007;8
01/05/2007;3
01/06/2007;3
01/07/2007;4
01/08/2007;9
01/09/2007;14
01/10/2007;17
01/11/2007;33
01/12/2007;55
01/01/2008;58
01/02/2008;52
01/03/2008;26
01/04/2008;10
01/05/2008;3
01/06/2008;3
01/07/2008;4
01/08/2008;8
01/09/2008;13
01/10/2008;18
01/11/2008;36
01/12/2008;65
01/01/2009;64
01/02/2009;56
01/03/2009;27
01/04/2009;10
01/05/2009;4
01/06/2009;3
01/07/2009;5
01/08/2009;11
01/09/2009;17
01/10/2009;20
01/11/2009;34
01/12/2009;67
01/01/2010;75
01/02/2010;72
01/03/2010;31
01/04/2010;9
01/05/2010;5
01/06/2010;4
01/07/2010;5
01/08/2010;9
01/09/2010;12
01/10/2010;18
01/11/2010;32
01/12/2010;49
01/01/2011;41
01/02/2011;42
01/03/2011;21
01/04/2011;6
01/05/2011;4
01/06/2011;4
01/07/2011;5
01/08/2011;8
01/09/2011;12
01/10/2011;17
01/11/2011;23
01/12/2011;53
01/01/2012;53
01/02/2012;59
01/03/2012;23
01/04/2012;8
01/05/2012;4
01/06/2012;3
01/07/2012;5
01/08/2012;10
01/09/2012;15
01/10/2012;20
01/11/2012;29
01/12/2012;54
01/01/2013;61
01/02/2013;56
01/03/2013;29
01/04/2013;9
01/05/2013;5
01/06/2013;5
01/07/2013;5
01/08/2013;11
01/09/2013;18
01/10/2013;20
01/11/2013;36
01/12/2013;57
01/01/2014;54
01/02/2014;56
01/03/2014;27
01/04/2014;7
01/05/2014;7
01/06/2014;4
01/07/2014;6
01/08/2014;11
01/09/2014;15
01/10/2014;19
01/11/2014;30
01/12/2014;53
01/01/2015;58
01/02/2015;75
01/03/2015;23
01/04/2015;7
01/05/2015;4
01/06/2015;4
01/07/2015;7
01/08/2015;12
01/09/2015;18
01/10/2015;20
01/11/2015;30
01/12/2015;44
01/01/2016;65
01/02/2016;62
01/03/2016;29
01/04/2016;9
01/05/2016;5
01/06/2016;4
01/07/2016;6
01/08/2016;11
01/09/2016;16
01/10/2016;20
01/11/2016;35
01/12/2016;46
01/01/2017;66
01/02/2017;71
01/03/2017;22
01/04/2017;9
01/05/2017;4
01/06/2017;5
01/07/2017;8
01/08/2017;13
01/09/2017;16
01/10/2017;20
01/11/2017;39
01/12/2017;71
01/01/2018;64
01/02/2018;68
01/03/2018;33
01/04/2018;10
01/05/2018;5
01/06/2018;5
01/07/2018;7
01/08/2018;13
01/09/2018;16
01/10/2018;20
01/11/2018;30
01/12/2018;55
01/01/2019;66
01/02/2019;71
01/03/2019;24
01/04/2019;12
01/05/2019;7
01/06/2019;6
01/07/2019;9
01/08/2019;16
01/09/2019;19
01/10/2019;21
01/11/2019;42
01/12/2019;62
01/01/2020;68
01/02/2020;67
01/03/2020;42
01/04/2020;6
01/05/2020;5
01/06/2020;7
01/07/2020;10
01/08/2020;14
01/09/2020;15
01/10/2020;18
01/11/2020;41
01/12/2020;58
01/01/2021;91
01/02/2021;57
01/03/2021;15
01/04/2021;5
01/05/2021;6
01/06/2021;5
01/07/2021;8
01/08/2021;13
01/09/2021;15
01/10/2021;23
01/11/2021;40
01/12/2021;82
01/01/2022;100
01/02/2022;84
01/03/2022;27
01/04/2022;11
01/05/2022;7
01/06/2022;6
01/07/2022;11
01/08/2022;15
01/09/2022;16
01/10/2022;21
01/11/2022;33
01/12/2022;65
01/01/2023;76
01/02/2023;73
01/03/2023;23
01/04/2023;10
01/05/2023;6
01/06/2023;6
01/07/2023;10
01/08/2023;14
01/09/2023;16
01/10/2023;22
01/11/2023;37
01/12/2023;68
01/01/2024;79
01/02/2024;54
01/03/2024;29
01/04/2024;10
01/05/2024;6
01/06/2024;6
01/07/2024;9
01/08/2024;14
01/09/2024;18
01/10/2024;22
01/11/2024;34
01/12/2024;72
01/01/2025;70
01/02/2025;63
01/03/2025;22
01/04/2025;10
01/05/2025;6
01/06/2025;6
01/07/2025;11
01/08/2025;17
01/09/2025;18
01/10/2025;22
01/11/2025;39
01/12/2025;64
01/01/2026;72
01/02/2026;67
01/03/2026;26
Grand Total;7577
